,City_ID,Country,Lat,Lng,Hotel Name
103,Barrow,AR,-38.31,-60.23,
104,Buala,SB,-8.15,159.59,Maringe Lagoon Lodge
106,Komsomolskiy,RU,67.55,63.78,
107,Yellowknife,CA,62.45,-114.38,The Explorer Hotel
108,Liverpool,GB,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
109,Kosh-Agach,RU,49.99,88.66,Fermerskiy Dom v Kosh-Agache
110,Cherskiy,RU,68.75,161.3,Gostinitsa
111,Torrevieja,ES,37.98,-0.68,Hotel Fontana Plaza
112,Dunedin,NZ,-45.87,170.5,Scenic Hotel Southern Cross
113,Liyang,CN,31.42,119.48,Jinjiang Inn Style Suyang City Government Building
114,Torbay,CA,47.66,-52.73,See The Sea
115,Te Anau,NZ,-45.41,167.72,Kingsgate Hotel Te Anau
116,Salekhard,RU,66.54,66.62,Hotel 89
117,Motygino,RU,58.18,94.69,"Gostinitsa ""Uyut"""
118,Mar del Plata,AR,-46.43,-67.52,Hotel Costanera Del Sur
119,Severo-Kurilsk,RU,50.68,156.12,Kak Doma
120,Port Macquarie,AU,-31.43,152.91,Rydges Port Macquarie
121,Tignere,CM,7.37,12.65,SADECK
122,Fairbanks,US,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
123,Montepuez,MZ,-13.13,39.0,RESIDÊNCIAL LANCHONETE
124,Hambantota,LK,6.12,81.12,Bungalow 63
125,Narsaq,GL,60.91,-46.05,Hotel Narsaq
126,Faya,SA,18.39,42.45,مقبرة ال مجمل
127,Ancud,CL,-41.87,-73.83,HOTEL ANCUD DON LUCAS
128,Santa Cruz,BR,-6.22,-36.02,Pousada Trairi
129,Amapa,HN,15.09,-87.97,Incubadora GAHSA
130,Kapaa,US,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
131,Concordia,AR,-31.4,-58.02,Palmar Hotel Casino
132,Munirabad,IN,15.28,76.33,Mateen Hotel
133,Saint George,GR,39.45,22.34,MX PARK KYPARISSOS
134,Bonavista,CA,48.65,-53.11,Abbott's Bed & Breakfast
135,La Puebla del Rio,ES,37.27,-6.06,Hotel Gran Avenida
136,Antofagasta,CL,-23.65,-70.4,Holiday Inn Express Antofagasta
137,Marawi,PH,8.0,124.29,Derogongan Residence
138,Nikolskoye,RU,59.7,30.79,Tourist House - Sablino
139,Bogo,CM,10.74,14.61,
140,Clyde River,CA,70.47,-68.59,Qamaq Hotel
141,Taltal,CL,-25.41,-70.49,Residencial Karime
142,Sal Rei,CV,16.18,-22.92,Marine Club Beach Resort
143,Cordoba,AR,-27.78,-67.24,
144,Tuatapere,NZ,-46.13,167.69,Ron and Tony's Bed & Breakfast
145,Salalah,OM,17.01,54.1,HAMDAN PLAZA HOTEL
146,Great Yarmouth,GB,52.61,1.73,Comfort Hotel Great Yarmouth
147,Aykhal,RU,65.95,111.51,Hotel Astoria
148,Isangel,VU,-19.55,169.27,Volcano Sea View Tree House
149,Hualmay,PE,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
150,Chimbote,PE,-9.08,-78.59,Hotel Briliá
151,San Patricio,PY,-26.98,-56.83,"Granja ""La Blanca"""
152,Miles City,US,46.41,-105.84,FairBridge Inn & Suites Miles City
153,Tilichiki,RU,60.47,166.1,
154,Sitka,US,37.17,-99.65,
155,Ban Phai,TH,16.55,102.46,ร้อยตำรวจโท​ สุทวัฒสุถาธิวงศ์​
156,Usmajac,MX,19.87,-103.55,Hacienda don Nicolas
